date,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR,dia_semana,hora
2022-01-01 00:00:00,0.544,8.0,9.7,17.0,19.9,54.0,,723.0,0.0,75.0,4.4,0.0,19.6,1.1,286.0,5,0
2022-01-01 01:00:00,0.44,5.4,7.1,12.0,21.5,14.0,,729.0,0.0,82.0,3.4,0.0,5.1,8.3,126.0,5,1
2022-01-01 02:00:00,0.711,9.5,15.7,24.6,5.2,74.0,,722.0,0.0,85.0,4.4,0.0,16.5,1.0,282.0,5,2
2022-01-01 03:00:00,0.842,10.6,16.8,26.7,4.1,67.0,,722.0,0.0,87.0,4.4,0.0,15.8,1.0,282.0,5,3
2022-01-01 04:00:00,0.914,10.0,17.5,26.8,4.4,73.0,,722.0,0.0,87.0,4.6,0.0,15.9,1.0,289.0,5,4
2022-01-01 05:00:00,0.878,8.9,16.6,25.0,5.1,85.0,,722.0,0.0,88.0,4.5,0.0,15.1,2.3,271.0,5,5
2022-01-01 06:00:00,0.678,8.7,12.3,20.4,9.6,84.0,,722.0,0.0,89.0,4.4,0.0,15.0,2.0,275.0,5,6
2022-01-01 07:00:00,0.704,10.0,14.7,24.1,7.4,67.0,,722.0,0.0,87.0,4.5,0.0,15.6,1.0,288.0,5,7
2022-01-01 08:00:00,0.589,10.7,12.8,22.8,8.8,61.0,,723.0,0.0,70.0,4.7,0.012,17.6,4.1,44.0,5,8
2022-01-01 09:00:00,0.283,8.7,5.2,13.2,24.4,60.0,,723.0,0.0,23.0,4.4,0.056,27.0,16.2,318.0,5,9
2022-01-01 10:00:00,0.268,8.3,4.6,12.1,26.8,97.0,,724.0,0.0,19.0,4.3,0.319,30.2,18.0,317.0,5,10
2022-01-01 11:00:00,0.257,7.5,4.6,11.5,28.8,65.0,,724.0,0.0,16.0,4.1,0.518,32.5,17.6,319.0,5,11
2022-01-01 12:00:00,0.244,6.4,4.4,10.1,29.8,69.0,,724.0,0.0,15.0,4.1,0.626,33.5,16.9,319.0,5,12
2022-01-01 13:00:00,0.241,6.3,4.4,10.1,31.4,46.0,,723.0,0.0,13.0,4.0,0.678,34.8,14.5,325.0,5,13
2022-01-01 14:00:00,0.243,6.1,4.7,10.0,34.9,36.0,,722.0,0.0,11.0,4.6,0.669,35.6,17.6,307.0,5,14
2022-01-01 15:00:00,0.243,6.2,4.9,10.4,37.0,81.0,,722.0,0.0,9.0,4.3,0.589,36.0,15.0,318.0,5,15
2022-01-01 16:00:00,0.248,6.2,5.3,10.8,38.8,37.0,,721.0,0.0,8.0,4.6,0.431,36.3,13.8,308.0,5,16
2022-01-01 17:00:00,0.248,5.8,5.6,10.7,40.2,29.0,,722.0,0.0,7.0,4.9,0.278,35.9,12.2,293.0,5,17
2022-01-01 18:00:00,0.272,6.1,6.3,11.7,39.2,28.0,,722.0,0.0,8.0,4.9,0.068,33.2,5.3,272.0,5,18
2022-01-01 19:00:00,0.411,13.1,19.3,31.5,17.7,24.0,,723.0,0.0,13.0,4.8,0.0,28.4,1.1,291.0,5,19
2022-01-01 20:00:00,0.337,5.8,13.0,18.0,16.2,38.0,,724.0,0.0,19.0,4.0,0.0,24.8,1.1,283.0,5,20
2022-01-01 21:00:00,0.568,19.8,23.9,42.8,4.7,39.0,,724.0,0.0,25.0,4.4,0.0,22.3,1.5,278.0,5,21
2022-01-01 22:00:00,0.602,18.8,23.0,41.1,7.7,54.0,,725.0,0.0,26.0,4.8,0.0,22.1,3.0,78.0,5,22
2022-01-01 23:00:00,0.487,9.2,17.6,26.2,8.8,56.0,,725.0,0.0,35.0,4.4,0.0,19.2,2.3,281.0,5,23
2022-01-02 00:00:00,0.555,16.7,19.0,35.0,3.5,39.0,,725.0,0.0,45.0,4.5,0.0,17.1,4.2,282.0,6,0
2022-01-02 01:00:00,0.57,15.2,21.1,35.5,4.5,45.0,,726.0,0.0,45.0,4.8,0.0,17.6,5.4,285.0,6,1
2022-01-02 02:00:00,0.547,10.1,23.9,33.2,5.1,46.0,,726.0,0.0,39.0,7.0,0.0,18.5,5.1,303.0,6,2
2022-01-02 03:00:00,0.389,7.5,13.8,20.7,15.9,50.0,,727.0,0.0,30.0,10.1,0.0,18.8,8.7,297.0,6,3
2022-01-02 04:00:00,0.264,8.0,6.5,13.8,31.3,49.0,,728.0,0.0,24.0,5.5,0.0,20.9,21.9,328.0,6,4
2022-01-02 05:00:00,0.237,7.0,5.3,11.6,37.5,173.0,,729.0,0.0,19.0,3.9,0.0,21.2,31.4,337.0,6,5
2022-01-02 06:00:00,0.227,6.3,5.1,10.7,33.0,282.0,,730.0,0.0,28.0,3.8,0.0,18.1,32.9,335.0,6,6
2022-01-02 07:00:00,0.24,6.2,5.0,10.5,31.9,386.0,,732.0,0.0,34.0,3.8,0.0,14.5,31.6,335.0,6,7
2022-01-02 08:00:00,0.242,6.1,5.5,10.9,32.8,209.0,,734.0,0.0,36.0,3.7,0.016,11.9,24.5,334.0,6,8
2022-01-02 09:00:00,0.241,6.7,5.0,11.0,29.7,83.0,,736.0,0.0,36.0,3.8,0.164,10.5,24.4,334.0,6,9
2022-01-02 10:00:00,0.252,6.8,5.0,11.1,28.9,61.0,,738.0,0.0,33.0,4.5,0.35,10.9,21.7,329.0,6,10
2022-01-02 11:00:00,0.24,7.4,5.1,11.8,30.5,61.0,,739.0,0.0,29.0,4.8,0.516,11.9,21.1,329.0,6,11
2022-01-02 12:00:00,0.247,7.5,5.2,11.9,31.0,64.0,,739.0,0.0,27.0,5.0,0.631,12.8,21.4,331.0,6,12
2022-01-02 13:00:00,0.4558625,11.0448717948718,6.103846153846154,16.17051282051282,45.425,28.54545454545455,,729.7820512820513,0.0125,42.775,4.385074626865672,0.0,27.91375,9.832911392405062,134.8,6,13
2022-01-02 14:00:00,0.257,7.2,5.4,11.9,32.8,54.0,,738.0,0.0,26.0,4.2,0.68,14.1,21.5,336.0,6,14
2022-01-02 15:00:00,0.256,7.1,5.1,11.5,34.2,45.0,,738.0,0.0,24.0,4.0,0.606,15.3,19.5,331.0,6,15
2022-01-02 16:00:00,0.26,7.2,5.5,11.9,34.8,49.0,,738.0,0.0,23.0,4.1,0.471,15.7,17.2,334.0,6,16
2022-01-02 17:00:00,0.265,7.2,5.9,12.4,35.1,33.0,,738.0,0.0,22.0,4.3,0.285,15.2,17.7,333.0,6,17
2022-01-02 18:00:00,0.261,8.971428571428572,6.227272727272728,14.21558441558441,34.3,35.0,,739.0,0.0,23.0,4.4,0.083,13.8,13.2,330.0,6,18
2022-01-02 19:00:00,0.273,9.007792207792209,7.124675324675325,15.15921052631579,31.8,36.0,,740.0,0.0,24.0,4.4,0.001,11.5,8.6,328.0,6,19
2022-01-02 20:00:00,0.259,7.1,7.9,14.3,32.3,30.0,,728.6463414634146,0.0,26.0,3.9,0.0,9.9,3.3,314.0,6,20
2022-01-02 21:00:00,0.268,7.0,6.8,13.1,29.7,25.0,,729.0246913580247,0.0,29.0,3.8,0.0,8.1,1.7,251.0,6,21
2022-01-02 22:00:00,0.302,6.9,10.4,16.7,22.9,24.0,,729.4634146341464,0.0,34.0,3.5,0.0,6.2,1.0,283.0,6,22
2022-01-02 23:00:00,0.317,7.2,12.3,18.8,15.8,21.0,,729.7530864197531,0.0,39.0,3.4,0.0,5.0,1.0,136.0,6,23
2022-01-03 00:00:00,0.312,9.1,15.1,23.6,10.0,22.0,,729.7625,0.0,49.0,3.6,0.0003050847457627118,3.8,1.0,135.0,0,0
2022-01-03 01:00:00,0.337,10.1,16.4,25.8,7.1,30.0,,729.7349397590361,0.0,51.0,3.6,0.0002542372881355932,2.9,7.063750000000001,311.0,0,1
2022-01-03 02:00:00,0.378,10.4,18.3,28.0,3.7,36.0,,729.4578313253012,0.0,56.0,3.7,0.0002203389830508475,2.2,6.313924050632911,309.0,0,2
2022-01-03 03:00:00,0.368,11.4,17.1,27.9,3.1,38.0,,729.2530120481928,0.0,63.0,3.7,0.0002372881355932203,1.1,5.697368421052632,274.0,0,3
2022-01-03 04:00:00,0.343,8.3,17.4,25.0,4.2,33.0,,729.0853658536586,0.0,62.0,3.5,0.0002033898305084746,0.3,5.078378378378378,265.0,0,4
2022-01-03 05:00:00,0.344,8.8,16.8,24.9,3.5,25.0,,728.9875,0.0,66.0,3.5,0.0003559322033898305,-0.2,4.686486486486487,266.0,0,5
2022-01-03 06:00:00,0.352,13.6,16.1,29.1,3.2,23.0,,729.1794871794872,0.0,69.0,3.6,0.06611475409836066,-0.7,4.679166666666666,276.0,0,6
