date,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR,dia_semana,hora
2022-01-01 00:00:00,3.84,36.7,40.7,77.2,8.0,251.0,112.1,709.6,0,62.0,3.84,0.0,21.79,4.6,324.0,5,0
2022-01-01 01:00:00,3.12,22.1,38.2,60.3,6.0,340.0,157.05,709.2,0,63.0,3.9,0.0,21.4,4.4,317.0,5,1
2022-01-01 02:00:00,3.33,43.7,34.7,78.3,6.0,342.0,161.62,709.1,0,65.0,4.3,0.0,20.29,3.8,315.0,5,2
2022-01-01 03:00:00,4.02,68.1,32.2,100.1,5.0,295.0,162.84,708.9,0,67.0,4.4,0.0,19.45,4.1,319.0,5,3
2022-01-01 04:00:00,2.39,37.1,32.2,69.2,4.0,310.0,170.59,708.8,0,70.0,4.3,0.0,19.24,4.5,202.0,5,4
2022-01-01 05:00:00,2.35,29.1,31.2,60.2,3.0,169.0,87.36,708.7,0,69.0,3.9,0.0,19.02,4.7,183.0,5,5
2022-01-01 06:00:00,0.93,6.9,18.6,25.5,7.0,147.0,68.89,708.7,0,42.0,4.0,0.0,22.58,6.7,332.0,5,6
2022-01-01 07:00:00,0.44,3.4,6.9,10.4,13.0,64.0,25.65,709.1,0,24.0,3.8,0.0,26.06,7.7,285.0,5,7
2022-01-01 08:00:00,0.36,3.3,2.9,6.3,18.0,63.0,10.88,709.6,0,20.0,3.4,0.0,28.36,12.2,300.0,5,8
2022-01-01 09:00:00,0.38,3.4,2.8,6.2,22.0,156.0,14.49,710.3,0,21.0,3.3,0.0,28.76,13.7,312.0,5,9
2022-01-01 10:00:00,0.45,3.4,2.5,6.0,25.0,49.0,6.67,710.9,0,20.0,3.2,0.0,29.92,15.4,326.0,5,10
2022-01-01 11:00:00,0.41,7.579268292682927,11.97804878048781,19.67160493827161,27.0,91.0,9.39,711.0,0,18.0,3.4,0.0,31.82,18.0,323.0,5,11
2022-01-01 12:00:00,0.41,3.3,2.3,5.7,28.0,96.0,10.34,710.7,0,17.0,3.4,0.0,33.24,18.4,312.0,5,12
2022-01-01 13:00:00,0.4,3.1,2.2,5.4,33.0,70.0,6.82,710.0,0,14.0,3.1,0.0,33.86,21.8,304.0,5,13
2022-01-01 14:00:00,0.43,3.2,2.9,6.2,37.0,97.0,8.62,709.3,0,12.0,3.2,0.0,34.31,20.6,304.0,5,14
