date,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR,dia_semana,hora
2022-01-01 00:00:00,1.98,2.6,26.3,28.6,21.0,103.0,83.0,706.0,0,58.0,3.4,0.0,20.91,5.9,306.0,5,0
2022-01-01 01:00:00,1.79,2.5,21.2,23.6,27.0,115.0,80.0,705.6,0,55.0,4.5,0.001,20.89,6.2,309.0,5,1
2022-01-01 02:00:00,1.65,2.6,23.1,25.5,24.0,123.0,93.0,705.5,0,57.0,4.0,0.001,20.13,6.1,306.0,5,2
2022-01-01 03:00:00,1.68,2.9,25.8,28.5,15.0,83.0,58.0,705.3,0,62.0,3.6,0.001,19.16,4.4,304.0,5,3
2022-01-01 04:00:00,1.5,2.6,17.9,20.4,17.0,80.0,67.0,705.4,0,65.0,3.1,0.001,17.01,3.5,92.0,5,4
2022-01-01 05:00:00,1.45,2.6,17.9,20.3,13.0,57.0,52.0,705.3,0,66.0,2.9,0.001,16.38,3.3,175.0,5,5
2022-01-01 06:00:00,1.37,2.8,16.5,19.2,11.0,59.0,20.0,705.5,0,64.0,2.8,0.001,16.12,4.2,150.0,5,6
2022-01-01 07:00:00,1.18,3.0,13.2,16.1,13.0,54.0,19.0,705.9,0,56.0,2.9,0.001,16.48,4.4,183.0,5,7
2022-01-01 08:00:00,1.21,5.2,17.4,22.5,5.0,39.0,10.0,706.4,0,54.0,2.8,0.009,16.29,3.7,263.0,5,8
2022-01-01 09:00:00,1.23,9.0,15.8,24.6,10.0,41.0,12.0,707.1,0,50.0,3.1,0.086,17.93,5.3,156.0,5,9
2022-01-01 10:00:00,1.31,10.7,14.3,24.8,17.0,42.0,5.0,707.7,0,36.0,3.3,0.292,23.59,4.3,176.0,5,10
2022-01-01 11:00:00,1.19,8.6,12.6,21.1,22.0,52.0,10.0,707.9,0,25.0,4.4,0.417,29.51,5.0,318.0,5,11
2022-01-01 12:00:00,1.03,4.3,6.6,10.9,32.0,54.0,20.0,707.5,0,17.0,5.3,0.49,32.96,5.6,349.0,5,12
2022-01-01 13:00:00,1.03,3.1,4.2,7.3,38.0,52.0,7.0,706.7,0,15.0,3.6,0.522,34.05,5.6,357.0,5,13
2022-01-01 14:00:00,1.07,2.9,4.5,7.5,46.0,38.0,23.0,705.9,0,12.0,3.2,0.496,34.99,6.4,128.0,5,14
2022-01-01 15:00:00,1.12,3.5,7.6,11.0,51.0,37.0,21.0,705.4,0,13.0,3.1,0.428,34.83,10.1,164.0,5,15
2022-01-01 16:00:00,1.14,3.2,8.1,11.3,52.0,48.0,12.0,705.3,0,14.0,3.2,0.305,34.97,7.6,182.0,5,16
