date,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR,dia_semana,hora
2022-01-01 00:00:00,2.36,19.8,48.4,68.0,5.0,142.0,111.0,715.7,0.0,59.0,4.0,0.0,21.65,6.5,285.0,5,0
2022-01-01 01:00:00,2.29,10.8,44.5,55.1,6.0,168.0,112.16,715.5,0.0,59.0,4.6,0.0,21.21,7.1,284.0,5,1
2022-01-01 02:00:00,2.71,28.3,47.1,75.2,4.0,203.0,139.31,715.4,0.0,62.0,5.9,0.0,21.21,7.7,290.0,5,2
2022-01-01 03:00:00,2.31,19.6,42.1,61.5,5.0,262.0,177.68,715.1,0.0,59.0,5.5,0.0,20.44,8.2,294.0,5,3
2022-01-01 04:00:00,1.85,13.0,39.5,52.5,4.0,185.0,134.21,715.1,0.0,59.0,4.9,0.0,19.8,8.1,287.0,5,4
2022-01-01 05:00:00,1.3,5.4,25.6,30.9,8.0,133.0,92.62,715.0,0.0,66.0,4.1,0.0,18.35,7.8,284.0,5,5
2022-01-01 06:00:00,1.11,6.1,21.8,27.9,9.0,93.0,47.8,715.0,0.0,61.0,4.1,0.0,18.61,7.3,283.0,5,6
2022-01-01 07:00:00,0.83,6.0,17.1,23.1,12.0,72.0,26.37,715.4,0.0,49.0,4.0,0.0,19.8,8.8,279.0,5,7
2022-01-01 08:00:00,0.79,12.3,19.4,31.7,7.0,48.0,19.07,715.9,0.0,39.0,3.8,0.007,21.67,8.0,262.0,5,8
2022-01-01 09:00:00,0.92,17.7,22.5,40.1,7.0,47.0,19.27,716.7,0.0,37.0,4.4,0.072,23.06,6.2,215.0,5,9
2022-01-01 10:00:00,0.84,17.1,19.6,36.6,13.0,61.0,13.06,717.7,0.0,30.0,5.4,0.228,27.93,6.2,90.0,5,10
2022-01-01 11:00:00,0.55,5.2,7.2,12.5,29.0,59.0,8.21,718.0,0.0,20.0,3.4,0.338,30.8,9.6,108.0,5,11
2022-01-01 12:00:00,0.53,4.5,6.7,11.2,35.0,59.0,8.03,717.9,0.0,19.0,2.9,0.405,32.45,8.7,132.0,5,12
2022-01-01 13:00:00,0.53,4.3,6.3,10.6,37.0,59.0,6.46,717.0,0.0,18.0,2.9,0.435,33.18,12.7,140.0,5,13
2022-01-01 14:00:00,0.55,4.1,6.7,10.8,41.0,41.0,6.43,716.3,0.0,17.0,3.0,0.421,33.99,10.4,130.0,5,14
2022-01-01 15:00:00,0.56,3.9,7.4,11.3,47.0,43.0,6.85,715.8,0.0,16.0,3.2,0.358,34.41,11.3,105.0,5,15
2022-01-01 16:00:00,0.54,3.6,7.6,11.2,49.0,51.0,6.57,715.7,0.0,15.0,3.0,0.253,34.66,8.7,131.0,5,16
2022-01-01 17:00:00,0.59,3.6,10.1,13.7,47.0,37.0,7.85,715.9,0.0,15.0,3.0,0.142,34.16,8.2,91.0,5,17
2022-01-01 18:00:00,0.97,14.4,27.6,41.9,22.0,45.0,8.81,716.2,0.0,17.0,3.6,0.017,31.79,5.1,183.0,5,18
2022-01-01 19:00:00,1.54,41.7,41.6,83.1,4.0,41.0,10.84,716.6,0.0,25.0,3.6,0.001,27.15,4.2,262.0,5,19
2022-01-01 20:00:00,1.87,65.1,41.6,106.5,4.0,51.0,16.27,717.2,0.0,27.0,3.7,0.0,25.76,4.7,245.0,5,20
2022-01-01 21:00:00,1.36,37.1,36.1,73.1,4.0,54.0,16.89,717.6,0.0,29.0,3.2,0.0,24.2,5.9,267.0,5,21
2022-01-01 22:00:00,1.17,22.0,33.8,55.8,6.0,47.0,14.0,718.0,0.0,28.0,3.8,0.0,24.45,4.4,210.0,5,22
