date,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR,dia_semana,hora
2022-01-01 00:00:00,1.666216216216216,14.46582278481013,16.60253164556962,30.91518987341772,18.77922077922078,58.78897435897436,22.06157142857143,702.4101265822785,0.0005063291139240507,57.36708860759494,6.150649350649351,0.0,20.62278481012658,8.939240506329115,139.9620253164557,5,0
2022-01-01 01:00:00,3.28,29.1,46.5,75.6,5.0,232.0,225.0,694.9,0.0,57.0,5.4,0.0,19.11,3.4,287.0,5,1
2022-01-01 02:00:00,3.25,38.7,42.0,80.7,5.0,234.0,181.0,694.9,0.0,57.0,5.3,0.0,18.5,1.4,333.0,5,2
2022-01-01 03:00:00,3.02,39.1,40.4,79.5,4.0,183.0,140.0,694.6,0.0,58.0,5.4,0.0,18.19,3.3,273.0,5,3
2022-01-01 04:00:00,2.73,37.2,39.0,76.2,3.0,137.0,91.0,694.4,0.0,55.0,5.9,0.0,18.78,1.6,315.0,5,4
2022-01-01 05:00:00,2.65,32.4,35.2,67.5,4.0,99.0,78.0,694.5,0.0,52.0,5.8,0.0,18.79,1.6,277.0,5,5
2022-01-01 06:00:00,1.98,16.0,29.7,45.7,4.0,88.0,49.0,694.6,0.0,39.0,5.8,0.0,20.02,1.5,256.0,5,6
2022-01-01 07:00:00,1.64,15.8,22.2,38.0,4.0,62.0,31.0,695.1,0.0,30.0,4.8,0.0,21.22,1.6,217.0,5,7
2022-01-01 08:00:00,1.25,8.5,13.0,21.4,10.0,65.0,13.0,695.6,0.0,25.0,4.9,0.003,23.58,6.0,258.0,5,8
2022-01-01 09:00:00,1.09,6.0,6.2,12.2,19.0,51.0,7.0,696.0,0.0,22.0,5.9,0.07,26.45,7.9,287.0,5,9
2022-01-01 10:00:00,1.08,6.6,6.0,12.6,22.0,38.0,11.0,696.5,0.0,20.0,4.5,0.257,28.81,7.5,291.0,5,10
2022-01-01 11:00:00,1.01,5.4,4.3,9.7,26.0,73.0,23.0,696.6,0.0,19.0,3.6,0.404,30.09,19.2,298.0,5,11
2022-01-01 12:00:00,1.0,5.9,4.8,10.7,28.0,277.0,14.0,696.4,0.0,16.0,3.3,0.51,31.39,20.2,296.0,5,12
2022-01-01 13:00:00,1.02,5.0,5.0,9.9,34.0,122.0,11.0,695.8,0.0,11.0,3.1,0.554,32.54,19.9,298.0,5,13
2022-01-01 14:00:00,0.99,4.7,5.1,9.7,36.0,117.0,9.0,695.2,0.0,9.0,3.0,0.546,32.71,21.8,300.0,5,14
2022-01-01 15:00:00,0.99,4.8,5.8,10.5,38.0,85.0,8.0,694.8,0.0,8.0,2.9,0.474,32.93,21.1,295.0,5,15
2022-01-01 16:00:00,1.03,4.6,6.1,10.8,38.0,72.0,6.0,694.8,0.0,8.0,3.0,0.354,33.08,16.4,293.0,5,16
2022-01-01 17:00:00,1.04,4.3,6.9,11.2,37.0,34.0,7.0,694.9,0.0,7.0,4.0,0.192,32.59,13.8,293.0,5,17
2022-01-01 18:00:00,1.14,6.8,13.5,20.3,30.0,26.0,12.0,695.4,0.0,9.0,3.4,0.018,30.47,10.6,280.0,5,18
2022-01-01 19:00:00,1.27,6.8,18.7,25.5,23.0,33.0,17.0,696.1,0.0,12.0,3.1,0.0,28.37,8.0,281.0,5,19
2022-01-01 20:00:00,1.8,11.2,28.3,39.5,12.0,46.0,19.0,696.7,0.0,13.0,3.5,0.0,27.15,4.8,276.0,5,20
2022-01-01 21:00:00,1.92,23.7,33.8,57.5,6.0,38.0,21.68097222222222,697.2,0.0,16.0,3.8,0.0,25.06,3.4,272.0,5,21
2022-01-01 22:00:00,2.3,56.5,35.1,91.5,4.0,70.0,49.0,697.6,0.0,19.0,5.1,0.0,23.53,2.6,254.0,5,22
2022-01-01 23:00:00,2.38,60.4,34.2,94.6,4.0,80.0,41.0,698.0,0.0,22.0,7.0,0.0,22.74,1.0,268.0,5,23
2022-01-02 00:00:00,2.45,58.8,31.0,89.8,3.0,69.0,36.0,698.2,0.0,24.0,5.7,0.0,21.36,2.1,268.0,6,0
2022-01-02 01:00:00,1.79,38.2,30.5,68.6,3.0,73.0,23.0,698.6,0.0,25.0,5.9,0.0,20.7,2.9,265.0,6,1
2022-01-02 02:00:00,1.57,18.9,27.8,46.7,4.0,48.0,14.0,699.0,0.0,24.0,5.8,0.0,20.6,2.8,245.0,6,2
2022-01-02 03:00:00,1.34,7.5,23.6,31.2,6.0,42.0,11.0,699.5,0.0,24.0,5.2,0.0,20.13,1.7,277.0,6,3
2022-01-02 04:00:00,1.14,5.5,19.4,24.9,15.0,34.0,9.0,700.0,0.0,18.0,4.2,0.0,22.25,6.5,277.0,6,4
2022-01-02 05:00:00,1.06,4.8,7.2,12.0,31.0,28.0,20.0,701.2,0.0,22.0,3.9,0.0,20.39,15.4,113.0,6,5
2022-01-02 06:00:00,1.0,3.9,5.1,9.0,34.0,194.0,15.0,702.6,0.0,22.0,4.0,0.0,18.71,16.5,117.0,6,6
2022-01-02 07:00:00,0.99,3.6,5.4,8.9,33.0,115.0,10.0,703.9,0.0,25.0,4.1,0.0,16.97,13.1,112.0,6,7
2022-01-02 08:00:00,1.05,3.5,9.0,12.6,26.0,71.0,14.0,705.5,0.0,34.0,4.8,0.004,14.54,9.4,116.0,6,8
2022-01-02 09:00:00,1.1,6.6,12.7,19.3,22.0,86.0,17.0,707.1,0.0,38.0,7.0,0.123,12.43,10.1,104.0,6,9
2022-01-02 10:00:00,1.12,8.2,11.2,19.4,22.0,93.0,16.0,708.5,0.0,40.0,7.9,0.283,10.76,12.6,109.0,6,10
2022-01-02 11:00:00,1.09,9.3,9.6,18.9,22.0,85.0,14.0,709.7,0.0,40.0,7.8,0.417,10.0,11.9,110.0,6,11
2022-01-02 12:00:00,1.11,8.9,9.9,18.9,24.0,68.0,15.0,709.8,0.0,36.0,7.4,0.511,11.2,9.7,104.0,6,12
2022-01-02 13:00:00,1.12,8.2,10.3,18.4,26.0,82.0,14.0,709.4,0.0,33.0,6.6,0.55,12.13,9.8,93.0,6,13
2022-01-02 14:00:00,1.14,8.3,9.5,17.7,29.0,67.0,14.0,708.9,0.0,31.0,5.9,0.531,12.69,11.9,101.0,6,14
